1741177416888|3|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual|select cast('string' as varchar2(32000)), sys_context('USERENV','CLOUD_SERVICE') from dual
1741177416896|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')|select 1 from dual where sys_context('USERENV','CLOUD_SERVICE') in ('OLTP','DWCS','JDCS')
1741177417432|8|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from all_sequences|select * from all_sequences
1741177418323|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_invitation(rn_ number(10,0) not null, created_at timestamp(6), invitation_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), requester_type varchar2(255 char), status varchar2(255 char), primary key (rn_)) on commit delete rows
1741177418325|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_task(rn_ number(10,0) not null, created_at timestamp(6), member_task_id number(19,0), modified_at timestamp(6), task_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741177418327|0|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_task(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), task_end_at timestamp(6), task_id number(19,0), task_start_at timestamp(6), task_type varchar2(10 char), task_name varchar2(20 char), task_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177418329|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_milestone(rn_ number(10,0) not null, created_at timestamp(6), id number(19,0), milestone_due_at timestamp(6), milestone_id number(19,0), modified_at timestamp(6), milestone_name varchar2(20 char), milestone_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177418330|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_project(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), project_id number(19,0), workspace_id number(19,0), project_name varchar2(20 char), project_description varchar2(200 char), primary key (rn_)) on commit delete rows
1741177418332|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_workspace(rn_ number(10,0) not null, created_at timestamp(6), modified_at timestamp(6), workspace_id number(19,0), workspace_name varchar2(20 char), workspace_description varchar2(200 char), leader_email varchar2(255 char), primary key (rn_)) on commit delete rows
1741177418335|1|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows|create global temporary table HTE_tbl_member_workspace(rn_ number(10,0) not null, created_at timestamp(6), member_workspace_id number(19,0), modified_at timestamp(6), workspace_id number(19,0), member_id varchar2(255 char), primary key (rn_)) on commit delete rows
1741177418559|2|statement|connection 0|url jdbc:p6spy:oracle:thin:@localhost:1521:xe|select * from all_sequences|select * from all_sequences
